Word,Documents (With Count)
corporal,"[(25, 1), (633, 1)]"
execução,"[(25, 2), (40, 1), (61, 2), (62, 1), (132, 1), (212, 1), (219, 1), (229, 1), (396, 1)]"
agrário,"[(25, 1)]"
hectares,"[(25, 1)]"
orla,"[(25, 1), (71, 2), (146, 2)]"
invadiu,"[(25, 1), (324, 1)]"
mando,"[(25, 1), (248, 1), (508, 1), (525, 1)]"
32,"[(25, 1), (119, 1), (158, 1), (232, 2), (505, 1)]"
vivia,"[(25, 1), (119, 1), (174, 2), (477, 1), (603, 1), (632, 1)]"
mogno,"[(25, 1)]"
mediação,"[(25, 1), (632, 1)]"
passava,"[(25, 1), (270, 1), (295, 1), (471, 1), (602, 1)]"
hilton,"[(25, 3), (119, 1)]"
abasteceriam,"[(25, 1)]"
informara,"[(25, 1)]"
caseiros,"[(25, 1)]"
barragens,"[(25, 4), (119, 2), (519, 1), (575, 1)]"
2008,"[(25, 1), (103, 1), (368, 1)]"
defender,"[(25, 1), (27, 3), (28, 1), (99, 1), (121, 1), (155, 1), (166, 1), (172, 1), (182, 1), (193, 1), (207, 1), (208, 1), (223, 2), (224, 1), (278, 1), (294, 3), (315, 1), (331, 1), (380, 1), (542, 1), (550, 1), (560, 1), (602, 1), (603, 1), (627, 4)]"
direitos.após,"[(25, 1)]"
cometidos,"[(25, 1), (82, 1), (121, 1), (192, 1), (250, 1), (277, 1), (354, 1), (573, 1)]"
chegou,"[(25, 2), (52, 1), (71, 1), (76, 1), (99, 1), (102, 2), (103, 2), (108, 2), (121, 1), (132, 1), (158, 1), (167, 2), (172, 1), (174, 1), (207, 1), (219, 1), (223, 1), (229, 4), (237, 1), (239, 1), (250, 1), (255, 1), (263, 1), (264, 1), (268, 2), (270, 2), (289, 2), (294, 1), (300, 1), (316, 1), (332, 1), (403, 1), (404, 1), (429, 1), (437, 1), (442, 1), (444, 3), (460, 1), (466, 1), (484, 1), (502, 1), (508, 1), (516, 1), (518, 1), (551, 1), (559, 1), (572, 1), (577, 1), (579, 3), (583, 1)]"
retornaram,"[(25, 1)]"
descaso,"[(25, 1), (91, 1), (575, 1)]"
lopes,"[(25, 1), (119, 1), (577, 3)]"
marabá,"[(25, 1)]"
mdb,"[(25, 1), (119, 1), (138, 1), (179, 1), (283, 1), (339, 1), (430, 2), (552, 1)]"
dívida,"[(25, 1), (76, 1), (138, 1), (273, 9), (304, 5), (525, 1)]"
sofrerem,"[(25, 1)]"
pistoleiros,"[(25, 1), (119, 1), (229, 8), (406, 1), (544, 1)]"
alqueires,"[(25, 1)]"
assentamento,"[(25, 10), (119, 3), (229, 1), (566, 2)]"
deca,"[(25, 1)]"
hotéis,"[(25, 1)]"
cavalos,"[(25, 1)]"
aviões,"[(25, 1)]"
suspeito,"[(25, 1), (119, 1), (227, 1), (525, 1)]"
crueldade,"[(25, 1), (82, 3), (294, 1), (316, 1), (407, 1), (519, 2)]"
ocupou,"[(25, 1), (30, 1), (249, 1), (590, 1)]"
mandante,"[(25, 2), (577, 1), (603, 1)]"
responsável,"[(25, 2), (57, 1), (72, 1), (99, 1), (102, 1), (108, 1), (121, 1), (166, 1), (179, 1), (192, 1), (229, 3), (267, 1), (276, 1), (279, 1), (282, 1), (289, 3), (297, 1), (380, 1), (429, 1), (448, 1), (590, 1), (603, 1), (627, 1)]"
1.083.000,"[(25, 1)]"
novamente,"[(25, 1), (27, 1), (52, 1), (82, 1), (229, 1), (260, 1), (289, 1), (433, 1), (478, 1), (577, 1)]"
governador.de,"[(25, 1)]"
motivação,"[(25, 1), (119, 2), (270, 1), (407, 2), (548, 1)]"
galpão,"[(25, 1), (595, 1)]"
vicinal,"[(25, 1)]"
princípio,"[(25, 1), (102, 2), (122, 1), (217, 1), (252, 1), (289, 1), (367, 1), (380, 3), (398, 1), (407, 1), (424, 1), (442, 1), (560, 1), (603, 1)]"
guerreira,"[(25, 1)]"
praça,"[(25, 1), (37, 4), (64, 1), (78, 2), (82, 1), (146, 3), (304, 2), (324, 1), (502, 1), (570, 2)]"
2005,"[(25, 1), (103, 1), (368, 1), (631, 1)]"
irregular,"[(25, 1), (237, 2), (445, 1), (466, 1)]"
rousseff.o,"[(25, 1), (276, 1)]"
garantir,"[(25, 1), (56, 1), (57, 1), (62, 3), (80, 1), (99, 1), (113, 1), (119, 1), (153, 1), (185, 1), (243, 1), (249, 1), (266, 1), (288, 1), (301, 1), (430, 1), (519, 2), (545, 1), (611, 1)]"
após,"[(25, 4), (28, 1), (30, 2), (33, 1), (34, 1), (51, 1), (52, 1), (55, 1), (59, 1), (61, 1), (62, 1), (64, 1), (76, 2), (80, 1), (81, 1), (86, 1), (99, 2), (102, 1), (103, 1), (113, 1), (114, 1), (119, 1), (121, 3), (132, 2), (133, 1), (147, 1), (167, 1), (179, 2), (185, 1), (200, 1), (207, 1), (212, 1), (219, 2), (229, 1), (251, 1), (252, 2), (255, 2), (260, 1), (282, 1), (289, 3), (304, 2), (306, 1), (319, 1), (324, 1), (355, 1), (367, 3), (368, 1), (372, 1), (375, 1), (400, 1), (403, 1), (404, 1), (407, 2), (417, 2), (433, 1), (437, 1), (446, 1), (457, 1), (471, 3), (484, 1), (505, 1), (514, 1), (516, 1), (518, 1), (525, 4), (534, 1), (544, 1), (551, 1), (553, 1), (573, 1), (577, 3), (583, 1), (586, 1), (627, 1), (631, 1), (633, 1)]"
contribuiu,"[(25, 1), (232, 1), (632, 1)]"
tratorista,"[(25, 1)]"
sofreu,"[(25, 1), (72, 1), (171, 1), (219, 1), (270, 1), (300, 1), (355, 1), (407, 1), (457, 1), (506, 1), (508, 1), (567, 1)]"
fazendeiro,"[(25, 6), (119, 1), (229, 4), (457, 1)]"
"7.270,44","[(25, 1)]"
pedindo,"[(25, 1), (57, 1), (72, 1), (76, 1), (229, 1), (289, 1), (429, 1), (495, 1), (577, 1)]"
funcionários.as,"[(25, 1)]"
canaã,"[(25, 1)]"
martins,"[(25, 1), (62, 1), (72, 1), (108, 1), (119, 1), (577, 1)]"
militante,"[(25, 2), (82, 1), (91, 1), (119, 2), (212, 1), (229, 1), (249, 1), (424, 1), (562, 1)]"
pouso,"[(25, 1)]"
incansavelmente,"[(25, 1)]"
vizinho,"[(25, 1), (597, 1)]"
anunciou,"[(25, 1), (81, 1), (108, 1), (123, 1), (185, 1), (452, 1), (488, 1), (583, 1)]"
salomão,"[(25, 1), (119, 1), (168, 1)]"
apontam,"[(25, 1), (172, 1), (367, 1), (376, 1), (603, 1)]"
estrada,"[(25, 1), (55, 1), (255, 1), (457, 1)]"
piratininga,"[(25, 2), (119, 1)]"
moto,"[(25, 1), (606, 1), (623, 1)]"
requintes,"[(25, 1), (407, 1), (544, 1)]"
camponeses,"[(25, 5), (171, 1), (208, 1)]"
junho,"[(25, 1), (113, 2), (301, 1), (302, 1), (345, 1), (525, 1), (593, 1)]"
grileiro,"[(25, 1)]"
especializada,"[(25, 1), (40, 1), (76, 1), (132, 1), (252, 1)]"
pano,"[(25, 1), (252, 1), (407, 1), (408, 1)]"
deverá,"[(25, 1), (33, 1), (37, 1), (64, 1), (158, 1), (223, 1), (457, 1)]"
emitiu,"[(25, 1), (121, 1), (586, 1), (635, 1)]"
banco,"[(25, 1), (60, 3), (149, 2), (158, 1), (368, 1), (418, 1), (454, 3), (488, 1), (546, 1)]"
valente,"[(25, 1), (447, 1)]"
minorias,"[(25, 1), (64, 1), (119, 1), (165, 1), (243, 1), (459, 1), (545, 1), (603, 1), (627, 2)]"
inteiramente,"[(25, 1), (251, 1)]"
repartimento,"[(25, 1)]"
agosto,"[(25, 1), (59, 1), (108, 1), (572, 1), (615, 1), (623, 1)]"
cinco,"[(25, 1), (59, 1), (62, 2), (82, 1), (119, 1), (167, 1), (174, 1), (185, 1), (219, 1), (229, 1), (232, 3), (273, 1), (283, 1), (304, 1), (340, 1), (343, 1), (345, 1), (358, 1), (361, 1), (367, 1), (393, 1), (442, 1), (480, 1), (502, 1), (516, 1), (523, 2), (525, 1), (534, 1), (543, 1), (546, 1), (573, 1), (577, 1)]"
publicado,"[(25, 1), (30, 2), (33, 2), (58, 1), (59, 1), (64, 1), (80, 1), (82, 1), (192, 1), (200, 1), (277, 1), (282, 2), (283, 1), (289, 3), (340, 1), (545, 1)]"
atirar,"[(25, 1), (193, 1), (229, 1)]"
investigações,"[(25, 2), (99, 1), (130, 1), (146, 1), (192, 1), (219, 1), (255, 1), (282, 1), (372, 1), (407, 3), (448, 1), (534, 1), (545, 1), (577, 3), (581, 1), (603, 3), (627, 3), (628, 1)]"
.em,"[(25, 1), (33, 1), (76, 1), (185, 1), (368, 1), (452, 1), (505, 1), (553, 1), (554, 1), (593, 1), (600, 1), (608, 1)]"
14,"[(25, 1), (55, 1), (64, 1), (91, 1), (158, 1), (179, 1), (187, 1), (229, 1), (289, 1), (306, 1), (338, 1), (362, 1), (407, 1), (583, 2), (627, 1), (631, 1)]"
ocupação,"[(25, 2), (80, 1), (119, 2), (146, 1), (185, 1), (249, 1), (270, 2), (582, 1), (590, 1)]"
penitenciário,"[(25, 1), (520, 1), (545, 1)]"
querida,"[(25, 1), (384, 1)]"
gaia,"[(25, 1)]"
reintegração,"[(25, 1), (270, 2), (289, 1), (568, 2)]"
diretoria,"[(25, 1), (33, 1), (132, 1), (160, 1), (415, 1)]"
ilhas,"[(25, 1), (163, 1)]"
rondônia,"[(25, 1)]"
obrigadas,"[(25, 1)]"
massacre,"[(25, 1), (229, 1)]"
comprovar,"[(25, 1), (82, 1), (210, 1), (390, 1), (457, 1), (577, 1)]"
atingidas.após,"[(25, 1)]"
pista,"[(25, 1), (606, 2)]"
baião,"[(25, 3), (119, 1)]"
defesa,"[(25, 1), (33, 2), (52, 2), (61, 2), (62, 6), (66, 1), (68, 1), (82, 1), (86, 1), (109, 1), (119, 1), (130, 1), (132, 1), (137, 1), (146, 1), (164, 1), (172, 1), (179, 1), (182, 1), (192, 1), (208, 1), (229, 1), (279, 2), (282, 2), (283, 5), (285, 2), (289, 1), (294, 1), (307, 1), (320, 1), (338, 1), (380, 1), (407, 1), (424, 1), (429, 3), (433, 1), (442, 1), (448, 2), (455, 1), (477, 2), (484, 1), (519, 1), (525, 1), (526, 1), (545, 7), (551, 1), (566, 3), (568, 1), (572, 15), (582, 1), (590, 2), (603, 1), (608, 1), (609, 1), (625, 1), (627, 4)]"
participou,"[(25, 1), (27, 1), (119, 1), (130, 1), (249, 1), (431, 1), (585, 1)]"
construir,"[(25, 1), (30, 1), (51, 2), (96, 1), (130, 1), (138, 1), (182, 1), (260, 1), (566, 1)]"
ver,"[(26, 1), (27, 2), (34, 1), (55, 2), (57, 1), (93, 1), (105, 1), (108, 1), (158, 1), (162, 1), (165, 2), (174, 1), (208, 1), (214, 1), (219, 1), (223, 2), (224, 1), (235, 1), (238, 1), (249, 2), (252, 2), (255, 1), (260, 1), (267, 1), (268, 1), (306, 1), (319, 1), (327, 1), (360, 1), (361, 1), (378, 1), (384, 1), (398, 1), (400, 1), (424, 1), (433, 1), (443, 1), (458, 1), (459, 1), (471, 1), (476, 1), (480, 1), (488, 1), (496, 1), (514, 1), (525, 2), (526, 1), (550, 1), (568, 1), (577, 1), (581, 1), (585, 1), (586, 1), (596, 1), (603, 1), (606, 1), (615, 1), (625, 2), (627, 4), (633, 1)]"
cabeça.o,"[(26, 1)]"
netos,"[(26, 1), (229, 1)]"
considerável,"[(27, 1)]"
pedaços,"[(27, 1)]"
sábios,"[(27, 1)]"
propósito,"[(27, 1)]"
posições,"[(27, 1)]"
feministas,"[(27, 1), (55, 3), (243, 1), (252, 2), (289, 1), (433, 1), (462, 1), (514, 1)]"
liberdades,"[(27, 1), (57, 1), (128, 1), (179, 2), (260, 1), (496, 1)]"
práticas,"[(27, 1)]"
2016,"[(27, 1), (30, 1), (50, 1), (51, 1), (55, 1), (57, 2), (62, 4), (80, 3), (81, 1), (82, 1), (108, 1), (145, 1), (158, 1), (229, 1), (260, 1), (460, 1), (519, 1), (525, 1), (545, 2), (592, 1), (599, 1), (603, 2), (615, 1)]"
trabalham,"[(27, 1), (55, 1), (195, 1), (243, 1), (525, 1), (568, 1), (586, 1)]"
já,"[(27, 4)]"
responsabilidade,"[(27, 1), (46, 1), (99, 1), (102, 1), (135, 1), (160, 1), (172, 1), (185, 2), (208, 1), (212, 1), (229, 1), (252, 1), (289, 2), (324, 1), (380, 2), (519, 1), (555, 1), (566, 3), (577, 1), (590, 1), (627, 1)]"
esquecendo,"[(27, 1)]"
questões,"[(27, 2)]"
homossexuais.houve,"[(27, 1)]"
potências,"[(27, 3)]"
pensamento,"[(27, 1), (57, 2), (63, 1), (162, 2), (207, 1), (229, 2), (278, 1), (289, 1), (365, 1), (465, 1), (470, 1), (496, 1), (525, 1)]"
quarta-feira,"[(27, 1), (28, 1), (30, 1), (37, 1), (40, 1), (67, 1), (86, 1), (108, 1), (210, 1), (232, 1), (288, 1), (331, 1), (407, 2), (418, 2), (505, 2), (545, 2), (561, 1), (576, 1)]"
direita,"[(27, 14), (30, 2), (33, 1), (37, 4), (57, 7), (64, 1), (121, 5), (138, 1), (147, 1), (162, 1), (171, 1), (174, 2), (182, 1), (187, 4), (192, 1), (193, 2), (224, 4), (227, 1), (235, 1), (243, 4), (252, 1), (263, 1), (282, 1), (289, 5), (297, 1), (367, 1), (378, 2), (445, 1), (455, 1), (471, 1), (496, 1), (514, 1), (519, 1), (526, 2), (544, 3), (548, 1), (577, 3), (585, 1), (596, 1), (624, 1), (627, 4)]"
aconteceu,"[(27, 2), (34, 1), (48, 1), (51, 2), (55, 3), (59, 2), (60, 1), (62, 1), (82, 1), (88, 1), (167, 1), (174, 1), (292, 1), (300, 1), (315, 1), (340, 1), (427, 1), (443, 1), (457, 1), (471, 1), (477, 1), (526, 1), (549, 1), (586, 1), (615, 1), (627, 1), (630, 1)]"
jogar,"[(27, 1), (73, 1), (80, 1), (82, 1), (127, 2), (415, 1), (457, 1), (544, 1)]"
instauradas,"[(27, 1)]"
mãos,"[(27, 2)]"
inspira,"[(27, 2)]"
frase,"[(27, 1), (30, 1), (59, 4), (76, 1), (127, 1), (174, 3), (179, 1), (340, 2), (415, 1), (579, 1)]"
víamos,"[(27, 1)]"
duas,"[(27, 1), (33, 1), (48, 1), (51, 1), (55, 1), (62, 2), (69, 1), (76, 1), (88, 1), (96, 1), (103, 1), (108, 1), (118, 1), (121, 1), (124, 1), (127, 1), (132, 2), (174, 1), (179, 1), (187, 1), (194, 1), (195, 2), (223, 1), (249, 4), (250, 1), (252, 3), (278, 2), (289, 3), (304, 1), (365, 1), (367, 1), (372, 1), (390, 2), (407, 1), (427, 1), (457, 3), (462, 1), (508, 1), (519, 1), (534, 1), (535, 1), (545, 1), (546, 3), (549, 1), (577, 1), (579, 3), (583, 2), (584, 1), (585, 1), (590, 1), (603, 1), (610, 1), (627, 1)]"
resistência,"[(27, 1)]"
frança.não,"[(27, 1)]"
celebrando,"[(27, 1), (71, 2)]"
não,"[(27, 54)]"
existe,"[(27, 1), (40, 1), (51, 4), (56, 1), (82, 1), (118, 1), (166, 1), (174, 2), (194, 1), (252, 1), (266, 2), (273, 1), (276, 1), (324, 1), (376, 1), (519, 1), (560, 1), (568, 5), (590, 2), (627, 1)]"
etc,"[(27, 1), (61, 3), (82, 1), (126, 1), (162, 1), (249, 1), (252, 1), (465, 1), (545, 1), (577, 1)]"
visa,"[(27, 1), (162, 1), (289, 1)]"
grave.isso,"[(27, 1)]"
negam,"[(27, 1), (390, 1), (566, 1)]"
tomei,"[(27, 1), (82, 1), (237, 1), (534, 1)]"
trump,"[(27, 3), (98, 1), (99, 1), (153, 1), (174, 1), (185, 1), (194, 1), (207, 2), (235, 1), (297, 1), (429, 5), (455, 1), (492, 1), (526, 1), (542, 1), (573, 2), (591, 1), (593, 2)]"
américa,"[(27, 3)]"
tão,"[(27, 2)]"
voz,"[(27, 1), (68, 1), (102, 3), (194, 2), (208, 1), (216, 1), (252, 1), (278, 1), (315, 1), (397, 1), (404, 1), (517, 1), (519, 1), (559, 3), (593, 1), (627, 1), (632, 1)]"
condições,"[(27, 1)]"
digo,"[(27, 2), (102, 4), (135, 1), (289, 1), (378, 1), (398, 1), (480, 1), (579, 1), (603, 1)]"
história,"[(27, 3)]"
próximos,"[(27, 2)]"
preocupante,"[(27, 4), (192, 1), (212, 1), (552, 1)]"
tentativa,"[(27, 1), (55, 5), (56, 1), (57, 1), (124, 1), (160, 1), (166, 1), (214, 1), (279, 1), (327, 1), (354, 1), (361, 1), (376, 1), (398, 1), (408, 1), (455, 1), (480, 1), (486, 1), (516, 1), (568, 1), (577, 3)]"
vividas,"[(27, 1)]"
início,"[(27, 1)]"
vive,"[(27, 1), (132, 1), (137, 1), (171, 1), (252, 1), (283, 1), (393, 2), (409, 1), (410, 1), (429, 1), (477, 2), (519, 1), (525, 1), (535, 1), (543, 2), (586, 1)]"
daí,"[(27, 2)]"
destruí-la,"[(27, 1)]"
comunismo,"[(27, 1), (34, 1), (51, 2), (60, 1), (63, 1), (153, 1), (167, 1), (171, 1), (174, 2), (256, 1), (309, 1), (442, 2), (501, 1), (542, 1)]"
continuarão,"[(27, 1)]"
informações,"[(27, 1)]"
insuportável,"[(27, 1)]"
preocupa,"[(27, 1), (379, 1)]"
jurada,"[(27, 1)]"
sentirem,"[(27, 1), (76, 1)]"
baixezas,"[(27, 1)]"
obrigam,"[(27, 1), (404, 1)]"
começo,"[(27, 1)]"
ameaçado,"[(27, 1)]"
acaso,"[(27, 1), (268, 1), (315, 1), (559, 1)]"
economicamente,"[(27, 2), (103, 1), (179, 1), (195, 1), (210, 1), (603, 1)]"
dirigidas,"[(27, 1), (158, 1), (194, 1)]"
dominados,"[(27, 1), (137, 1)]"
faço,"[(27, 1)]"
pen,"[(27, 2)]"
reeleição,"[(27, 1)]"
dado,"[(27, 2), (62, 1), (76, 1), (102, 1), (134, 1), (138, 1), (145, 1), (167, 1), (219, 1), (358, 1), (367, 1), (444, 1), (514, 1), (553, 1), (566, 1), (585, 1), (627, 2)]"
confiança,"[(27, 2)]"
fundamentais,"[(27, 1), (62, 4), (122, 2), (134, 1), (166, 1), (223, 1), (285, 1), (380, 1), (477, 1), (531, 1), (566, 3), (577, 1)]"
dote-se,"[(27, 1)]"
retransmitindo,"[(27, 1)]"
fraca.a,"[(27, 1)]"
preocupação,"[(27, 2)]"
deu-se,"[(27, 1), (62, 1), (361, 1), (553, 1)]"
amizade,"[(27, 3), (390, 2)]"
ideologia,"[(27, 1), (57, 1), (157, 1), (162, 1), (166, 2), (179, 2), (243, 1), (283, 1)]"
impor,"[(27, 1), (57, 1), (122, 3), (153, 1), (195, 1), (283, 1), (404, 1), (465, 3), (470, 2), (611, 1)]"
marielle,"[(27, 6), (30, 1), (55, 5), (59, 1), (64, 7), (146, 1), (212, 1), (256, 2), (264, 1), (300, 1), (406, 1), (526, 1), (534, 3), (603, 5), (627, 2)]"
círculo,"[(27, 1)]"
poderão,"[(27, 1)]"
implementada,"[(27, 1)]"
bolsonaro.trata-se,"[(27, 1)]"
armas,"[(27, 1), (55, 1), (167, 1), (208, 1), (212, 2), (229, 1), (276, 1), (283, 3), (324, 1), (415, 2), (442, 1), (520, 1), (573, 1), (632, 1), (635, 1)]"
adiro,"[(27, 1)]"
usa-se,"[(27, 1)]"
esperanças,"[(27, 1)]"
esperam,"[(27, 1), (236, 1), (252, 1), (586, 1), (590, 1)]"
amedrontar,"[(27, 1)]"
negação,"[(27, 1)]"
imposto,"[(27, 1), (360, 1), (514, 1)]"
reivindicação.emmanuel,"[(27, 1)]"
fórmula,"[(27, 1)]"
perigo,"[(27, 1), (57, 1), (162, 2), (214, 1), (239, 1), (276, 1), (324, 2), (358, 1), (572, 1)]"
torturas,"[(27, 1), (61, 2), (179, 2), (192, 1), (208, 1), (236, 1), (380, 1)]"
associação,"[(27, 2)]"
advogados,"[(27, 1), (33, 1), (48, 1), (62, 2), (137, 1), (171, 1), (223, 1), (229, 1), (248, 1), (368, 1), (545, 2), (566, 1), (577, 3)]"
democracia.estou,"[(27, 1)]"
atenção.se,"[(27, 1)]"
citar,"[(27, 1), (162, 1), (200, 1), (307, 1), (320, 1), (446, 1), (484, 1)]"
tudo,"[(27, 3), (33, 1), (55, 7), (56, 2), (62, 2), (63, 1), (71, 2), (73, 1), (76, 1), (80, 1), (99, 1), (124, 2), (132, 1), (137, 1), (138, 1), (145, 1), (147, 2), (153, 1), (157, 1), (162, 1), (172, 1), (174, 1), (179, 1), (182, 1), (223, 3), (238, 1), (239, 2), (249, 1), (252, 6), (256, 1), (264, 1), (268, 2), (277, 1), (289, 1), (297, 4), (304, 1), (308, 1), (319, 1), (322, 1), (359, 1), (361, 1), (365, 2), (370, 1), (373, 1), (376, 1), (379, 3), (398, 1), (404, 1), (409, 1), (433, 1), (445, 1), (457, 2), (465, 1), (470, 1), (477, 1), (486, 1), (505, 1), (506, 1), (517, 1), (519, 3), (525, 2), (552, 2), (566, 1), (568, 1), (573, 1), (579, 2), (581, 1), (582, 2), (600, 1), (602, 1), (613, 1), (615, 2), (627, 2)]"
talvez,"[(27, 1), (30, 1), (51, 1), (68, 1), (71, 1), (82, 1), (127, 2), (153, 1), (158, 1), (174, 1), (185, 1), (248, 1), (252, 2), (302, 1), (309, 2), (340, 1), (367, 1), (407, 1), (433, 1), (525, 1), (549, 2), (557, 1), (559, 3), (568, 1), (577, 1), (579, 2), (629, 1)]"
plena,"[(27, 2), (62, 2), (194, 1), (236, 1), (573, 1)]"
relações,"[(27, 1)]"
conhecimento,"[(27, 1), (62, 1), (63, 1), (76, 1), (118, 1), (166, 2), (172, 1), (182, 1), (207, 1), (237, 2), (251, 1), (289, 1), (340, 1), (437, 1), (442, 1), (550, 1), (582, 2)]"
analogias,"[(27, 1)]"
internet,"[(27, 1), (33, 1), (57, 1), (126, 4), (158, 2), (172, 1), (174, 2), (208, 1), (227, 1), (238, 1), (273, 1), (289, 2), (327, 1), (362, 1), (367, 1), (446, 1), (546, 1), (559, 4), (596, 1), (600, 1), (610, 1), (627, 4)]"
migratória,"[(27, 2)]"
prisão,"[(27, 7)]"
falar,"[(27, 1), (51, 1), (52, 1), (55, 1), (57, 2), (58, 1), (80, 1), (82, 1), (126, 1), (132, 1), (134, 1), (147, 1), (148, 1), (149, 1), (167, 1), (174, 2), (185, 1), (207, 2), (219, 1), (223, 1), (239, 1), (241, 1), (249, 8), (252, 7), (260, 1), (289, 1), (331, 1), (338, 1), (365, 2), (396, 2), (404, 1), (477, 1), (480, 1), (486, 1), (501, 1), (508, 2), (515, 1), (534, 1), (535, 1), (545, 1), (549, 4), (553, 1), (557, 3), (560, 1), (566, 1), (573, 1), (577, 1), (579, 1), (582, 1), (597, 1), (615, 1), (625, 1), (627, 1), (629, 3)]"
falava-se,"[(27, 1)]"
val-de-marne,"[(27, 1)]"
perguntarmos,"[(27, 1)]"
respeito,"[(27, 1), (33, 1), (62, 1), (82, 1), (102, 3), (122, 2), (138, 1), (174, 1), (192, 1), (216, 1), (219, 1), (223, 1), (248, 2), (251, 1), (268, 1), (283, 1), (300, 1), (379, 1), (424, 4), (429, 3), (477, 1), (505, 1), (525, 1), (546, 1), (553, 1), (584, 2), (593, 1), (609, 1)]"
presente,"[(27, 1), (30, 1), (61, 1), (62, 1), (118, 2), (121, 1), (146, 1), (167, 1), (249, 1), (294, 1), (519, 1), (582, 1)]"
capital,"[(27, 1), (51, 5), (56, 1), (64, 4), (91, 1), (99, 1), (103, 1), (108, 1), (113, 1), (119, 1), (153, 1), (158, 1), (179, 1), (208, 1), (283, 1), (304, 1), (362, 1), (365, 1), (393, 1), (404, 1), (410, 1), (431, 1), (457, 1), (471, 2), (488, 1), (525, 2), (543, 1), (545, 1), (579, 1), (585, 1), (623, 1)]"
reconhecido,"[(27, 1), (103, 1), (122, 1), (166, 1)]"
enriquecimento,"[(27, 1), (572, 1), (632, 1)]"
socialismo,"[(27, 3), (63, 1), (121, 1), (207, 10), (365, 1)]"
horríveis,"[(27, 1)]"
pude,"[(27, 1), (226, 1), (249, 1), (627, 1)]"
hollande,"[(27, 5)]"
extremamente,"[(27, 6), (324, 1), (339, 1), (367, 1), (552, 1), (600, 1)]"
preocupantes,"[(27, 2), (174, 1)]"
francamente,"[(27, 1), (315, 1)]"
artigos,"[(27, 1), (167, 1), (289, 1), (531, 1)]"
preocupar.uma,"[(27, 1)]"
saúde,"[(27, 1)]"
dominadas,"[(27, 1)]"
colaboração,"[(27, 1)]"
alguém,"[(27, 4)]"
razões,"[(27, 1)]"
única,"[(27, 1)]"
outro.e,"[(27, 1)]"
vassalagem,"[(27, 1), (153, 1), (277, 1), (632, 1)]"
adquiridos,"[(27, 1), (572, 1)]"
conhecemos,"[(27, 1), (488, 1), (514, 1)]"
receita,"[(27, 1), (80, 1), (145, 1), (160, 1), (238, 1), (304, 2)]"
serem,"[(27, 2), (57, 1), (105, 1), (124, 1), (137, 1), (174, 1), (179, 1), (183, 1), (192, 1), (195, 1), (243, 6), (289, 1), (315, 1), (354, 1), (376, 1), (550, 1), (561, 1), (568, 2), (577, 1), (627, 1)]"
têm,"[(27, 4)]"
fraca,"[(27, 1), (519, 1)]"
violações,"[(27, 1)]"
reuni,"[(27, 1)]"
tentativas,"[(27, 1), (103, 1), (583, 1)]"
ódio,"[(27, 4)]"
escrita,"[(27, 1), (34, 1), (302, 1), (484, 1)]"
hitler,"[(27, 2), (34, 9), (96, 2), (121, 5), (172, 3), (193, 3), (315, 1), (378, 2), (526, 1)]"
sensibilidades,"[(27, 1)]"
juntos,"[(27, 1), (153, 1), (172, 1), (235, 1), (269, 1), (327, 1), (545, 1), (546, 2), (559, 1), (577, 1)]"
pessoa,"[(27, 2), (33, 1), (51, 1), (55, 2), (62, 2), (82, 2), (86, 1), (108, 3), (124, 1), (137, 1), (174, 2), (182, 1), (227, 1), (252, 5), (266, 1), (279, 1), (289, 2), (294, 2), (301, 1), (306, 2), (315, 1), (327, 1), (376, 1), (395, 1), (398, 2), (466, 1), (477, 2), (508, 1), (526, 2), (549, 2), (559, 1), (560, 1), (568, 2), (572, 1), (577, 2), (592, 1), (603, 1), (606, 2), (625, 1), (627, 4)]"
criar,"[(27, 1), (30, 2), (51, 5), (56, 1), (82, 2), (99, 1), (121, 1), (127, 1), (133, 1), (167, 1), (174, 1), (179, 1), (236, 1), (243, 1), (256, 1), (273, 2), (289, 1), (291, 1), (367, 2), (397, 1), (465, 1), (480, 1), (514, 2), (525, 2), (545, 1), (568, 2)]"
europeu,"[(27, 2)]"
considerei,"[(27, 1)]"
líder,"[(27, 1)]"
cheio,"[(27, 1), (57, 1), (59, 1), (94, 1), (174, 1), (256, 1), (361, 1), (400, 1), (486, 1), (488, 2), (502, 1), (552, 1), (553, 1), (559, 1)]"
provando,"[(27, 1), (352, 2), (573, 1)]"
incômoda,"[(27, 2)]"
alusão,"[(27, 1)]"
só,"[(27, 2)]"
geral.os,"[(27, 1)]"
prazer,"[(27, 1), (34, 1)]"
impõem,"[(27, 1)]"
golpe,"[(27, 4), (37, 2), (48, 5), (50, 3), (51, 4), (61, 1), (71, 2), (81, 1), (82, 1), (103, 1), (112, 1), (122, 2), (129, 1), (138, 1), (145, 1), (146, 1), (167, 3), (171, 1), (174, 1), (179, 1), (192, 7), (212, 1), (223, 1), (226, 1), (236, 2), (246, 1), (251, 4), (260, 4), (276, 1), (277, 2), (285, 1), (291, 3), (294, 1), (300, 1), (305, 1), (309, 1), (324, 5), (327, 1), (349, 1), (354, 2), (365, 1), (380, 9), (397, 1), (442, 4), (445, 2), (447, 1), (471, 2), (478, 1), (542, 1), (544, 2), (572, 1), (579, 1), (603, 3), (611, 1)]"
mandantes,"[(27, 2)]"
modestas,"[(27, 1)]"
